review,label1,label2
지인이 추천해서 왔는데 시설도 깨끗하고 직원분들도 친절하네요^^아이와 왔는데 재밌는 체험도 많아 시간잘보내고 갑니다^^,문화,1
"완전좋아요
가격이 꽤 나가서 일찍 가서 여유있게 놀다오는거
추천드립니다",문화,1
운동장에 눈이 있어 미끄러워 아쉽네요,문화,0
평소랑 다르게 오늘은 삐뚤삐뚤하게 삐죽 삐져나온게 너무많아요 ㅠ ,미용,0
벌써 4번째 방문인데 오늘도 넘 만족스럽게 미용해주셨어여 귀가 넘 귀엽..♡제가 스스로 쓰는 리뷰는 여기가 첨이에여..넘 친절하시고 잘해주세요ㅠㅠ 누리 미용은 항상 여기로 다닐거같아요 ㅎㅎ 말만 좀 잘 들어야할텐데^^;; 고생하셨어요 한달뒤에 또 봬용 !,미용,1
"항상 멍이날개에서 미용하는데 리뷰는 처음이네요 ㅎㅎ 저번에 미용하고 나서 털이 많이 자라진 않았지만 산책할 때 쪼오끔 관리가 필요한거 같아서 위생미용만 맡겼는데도 너무 친절하게 해주셨어요💖 배 부분 정리랑 발톱, 💩할 때 묻지 않게만 부탁드렸는데 발도 귀엽게 둥글둥글, 엉덩이도 애플힙으로 만들어주셨어요!! 다음에 털 많이 자라면 이번엔 진짜 미용하러 또 방문할게요~~~",미용,1
생각보다 찾는게 많이 없어서 아쉬웠어요,반려동물용품,0
"최근 가본곳 중에 댕댕이 냐옹이 용품 종류가 제일 다양해요! 저희 집 댕댕이 국산 동결 간식도 사고 부모님 냐옹이 귀여운 장난감까지 한번
에 구입한 곳은 처음입니다👍🏻",반려동물용품,1
용품 몇개 구입하러 방문했는데 사장님과 직원분이 열정적으로 설명해주시고 보여주시더라구요😆 분양할 생각은 없었는데 막상 애기들 보니 너무 이뻐서 한마리 분양해 왔습니다 ㅎㅎ 친절한 설명 감사드립니다 덕분에 구경 잘했어용! 크레도 예쁘게 키우겠습니다♥ ,반려동물용품,1
"숙소좋아요 3일동안 너무잘지내다왔어요 조용하고 산책좋아하시면 여기숙소 추천해요 그리고 숙소 정말 깨끗해요  공기좋고 아침 산책하
기너무좋아요 매일아침마다 풍경이달라서 신기했어요ㅎ 여행스타일이 아침일찍 움직이고 초저녁에는 숙소에서 쉬는편인데 ,,너무 최적의 
숙소였어요 항상 개딸이랑 둘이서 다니는 여행이기에 이런 좋은 숙소가 많아졌음 좋겠어요 많은 반려인들이 기본적인 매너를 잘지켜...",위탁및숙박,1
"스파도 있고, 펜션 뒤에 산책로도 있어 강아지랑 올라갔다 왔어요. 다만, 펜션 방음은 좀 안되는 편이예요. 다른 이용객들 언성이 높은걸 수
도 있지만..🙂 103호 다른 리뷰처럼 화장실 넓은데 샤워기 수압이 정말 약해요. 그 샤워기 분사구도 깨졌는지 자꾸 물이 질질 새더라구요. 
이건 사장님께서 체크를 좀 해주시면 좋을듯 싶어요. 그래도 애견 샤워룸도 있고, 샴푸는 웬만하면 챙겨가심이 좋을 듯요!",위탁및숙박,0
"친구들과 15주년 여행으로 고른 숙소에요!! 애견동반이라 냄새날까 걱정이 많이 되었는데 가져갔던 알러지약 안먹을 정도로 냄새도 안나고 
컨디션이 좋았어요 침대 두개에 깔끔해보여 고른 숙소였는데 침구도 깨끗했고 주방 침실 바베큐장  어디서 사진을 찍어도 너무 예쁘게 나오
고 바베큐장이 실내라 벌레 걱정도 없고 에어컨도 있어 시원하고 환기구가 있어 연기도 잘빠져나가서 좋았어요 풀장은 성인넷이 들어...",위탁및숙박,1
